Variable ID,Variable Name
DP02PR_0137E,ANCESTRY_Total population_Norwegian_Estimate
DP02PR_0138E,ANCESTRY_Total population_Polish_Estimate
DP02PR_0139E,ANCESTRY_Total population_Portuguese_Estimate
DP02PR_0140E,ANCESTRY_Total population_Russian_Estimate
DP02PR_0141E,ANCESTRY_Total population_Scotch-Irish_Estimate
DP02PR_0142E,ANCESTRY_Total population_Scottish_Estimate
DP02PR_0143E,ANCESTRY_Total population_Slovak_Estimate
DP02PR_0144E,ANCESTRY_Total population_Subsaharan African_Estimate
DP02PR_0145E,ANCESTRY_Total population_Swedish_Estimate
DP02PR_0146E,ANCESTRY_Total population_Swiss_Estimate
DP02PR_0147E,ANCESTRY_Total population_Ukrainian_Estimate
DP02PR_0148E,ANCESTRY_Total population_Welsh_Estimate
DP02PR_0149E,ANCESTRY_Total population_West Indian (excluding Hispanic origin groups)_Estimate
DP02PR_0150E,COMPUTERS AND INTERNET USE_Total households_Estimate
DP02PR_0151E,COMPUTERS AND INTERNET USE_Total households_With a computer_Estimate
DP02PR_0152E,COMPUTERS AND INTERNET USE_Total households_With a broadband Internet subscription_Estimate
